"FID","OBJECTID","SHAPE","BASIS_NAME","BASIS_TYP","BETRIEB","VERWALTUNG","BAUJAHR","DENKMAL","KUENSTLER","BETRIEB_VON","BETRIEB_BIS","AKTIV","SE_ANNO_CAD_DATA","BETREIBER"
"MONUMENTALBRUOGD.30071",30071,"POINT (16.357370996351914 48.22473649594962)","Schubertbrunnen","Monumentalbrunnen","MA31-Abt.4",,1928,"Ja","MATUSCHEK Franz, STUNDL Theodor",,,"08:00-21:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30072",30072,"POINT (16.369461253769128 48.20288925032239)","Opernbrunnen","Monumentalbrunnen",,,1868,"Nein","SICARD VON SICCARDSBURG August, VAN DER NÜLL Eduard, GASSER Hans",,,,,
"MONUMENTALBRUOGD.30073",30073,"POINT (16.30890034155951 48.21387864896697)","Alter Ort","Monumentalbrunnen","MA 28",,,"Nein",,,,"09:00-22:00",,"MA 28"
"MONUMENTALBRUOGD.30074",30074,"POINT (16.353203500477353 48.185323707825845)","Siebenbrunnen","Monumentalbrunnen","MA31-Abt.4",,1904,"Ja","KAUFFUNGEN Richard",,,"08:00-21:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30075",30075,"POINT (16.3206767737158 48.19792784872186)","Wasserwelt - Wasserbecken C","Monumentalbrunnen","MA 31",,1995,"Nein","VIEHBÖCK Waltrud",,,,,"MA 31"
"MONUMENTALBRUOGD.30076",30076,"POINT (16.38274926151081 48.210182776065956)","Ministerienbrunnen","Monumentalbrunnen","MA31-Abt.4",,1912,"Nein","BAUMANN Ludwig",,,,,"MA31-Abt.4"
"MONUMENTALBRUOGD.30077",30077,"POINT (16.382611023028858 48.20970010730303)","Ministerienbrunnen","Monumentalbrunnen","MA31-Abt.4",,1912,"Nein","BAUMANN Ludwig",,,,,"MA31-Abt.4"
"MONUMENTALBRUOGD.30078",30078,"POINT (16.3476562727164 48.19107323006814)","St.Ägyd","Monumentalbrunnen","MA31-Abt.4",,,"Nein",,,,"08:00-21:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30079",30079,"POINT (16.37296885968391 48.21087687434585)","Vermählungsbrunnen","Monumentalbrunnen","MA31-Abt.4",,1732,"Ja","CORRADINI Antonio, FISCHER VON ERLACH Joseph Emanuel",,,"07:00-01:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30080",30080,"POINT (16.367056309506626 48.191705161237145)","Engelbrunnen","Monumentalbrunnen","MA31-Abt.4",,1893,"Ja","WAGNER Anton Paul",,,"08:00-21:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30081",30081,"POINT (16.320903247426646 48.19759522595378)","Wasserwelt - Wasserbecken B","Monumentalbrunnen","MA 31",,1995,"Nein","VIEHBÖCK Waltrud",,,,,"MA 31"
"MONUMENTALBRUOGD.30082",30082,"POINT (16.344908285983465 48.22589812375414)","Brunnen am Kutschkermarkt","Monumentalbrunnen",,,230807,"Nein",,,,,,
"MONUMENTALBRUOGD.30083",30083,"POINT (16.37109726623919 48.212027020398814)","Andromedabrunnen","Monumentalbrunnen","MA31-Abt.4",,1741,"Ja","DONNER Georg Raphael",,,"07:00-01:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30084",30084,"POINT (16.359533847172145 48.21011043938293)","Brunnen im Rathauspark (links)","Monumentalbrunnen","MA31-Abt.4",,1910,"Ja",,,,"07:00-01:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30085",30085,"POINT (16.381881550237562 48.2040407048823)","Labetrunk-Brunnen","Monumentalbrunnen","MA31-Abt.4",,1909,"Nein","LAHNER Karl, JOSEPHU-DROUOT Florian",,,"08:00-21:00",,"MA31-Abt.4"
